trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.323239960092497,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.57032960847814,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.66963583365803,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 1.0}",25,0,-31.91053474577267,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 1.0}",25,0,-17.59268120837077,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 1.0}",20,0,-10.969211230652098,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 1.0}",30,0,-41.24682930901832,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 1.0}",30,0,-36.0103058393621,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 1.0}",25,0,-4.453137026266614,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.72182550815496,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.47716928803878,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.22891918594332,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.026595266246908,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.225753083249934,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
