trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
353,False,"{'a': 0.4, 'e': 0.4923575835133495}",20,0,-14.256717272183895,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
354,False,"{'a': 0.4, 'e': 0.4897441927614595}",25,15,-28.910266968268907,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
355,False,"{'a': 0.4, 'e': 0.48712639431514015}",25,20,10.298905661840475,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.4, 'e': 0.48450421173456026}",20,6,23.41603030883011,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.4, 'e': 0.481877668619345}",25,5,-72.80282287449143,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
358,False,"{'a': 0.4, 'e': 0.47924678860836506}",20,0,-34.37788734966555,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
359,False,"{'a': 0.4, 'e': 0.47661159537952236}",20,0,-62.18853923819017,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
360,False,"{'a': 0.4, 'e': 0.4739721126495385}",20,0,-13.56010000318792,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
361,False,"{'a': 0.4, 'e': 0.47132836417373997}",25,2,-44.30894354181058,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 1}",1
362,False,"{'a': 0.4, 'e': 0.4686803737458455}",25,0,-24.30468435109568,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
363,False,"{'a': 0.4, 'e': 0.46602816519775075}",25,2,-18.512594381447283,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
364,False,"{'a': 0.4, 'e': 0.4633717623993151}",20,0,-22.110082123569075,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
365,False,"{'a': 0.4, 'e': 0.46071118925814536}",25,5,-42.40292701220078,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
366,False,"{'a': 0.4, 'e': 0.45804646971938234}",30,5,-8.550908634370911,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",1
367,False,"{'a': 0.4, 'e': 0.45537762776548346}",20,5,-16.857471420611375,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
368,False,"{'a': 0.4, 'e': 0.4527046874160087}",25,0,-17.720652758271918,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
369,False,"{'a': 0.4, 'e': 0.45002767272740274}",20,2,-6.293350793884065,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
370,False,"{'a': 0.4, 'e': 0.4473466077927801}",20,13,9.729828870638826,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.4, 'e': 0.4446615167417068}",25,15,-36.7981301665551,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 0}",1
372,False,"{'a': 0.4, 'e': 0.44197242373998435}",20,4,28.95004665152251,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.4, 'e': 0.43927935298943144}",20,5,-61.284852255765585,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 1}",1
374,False,"{'a': 0.4, 'e': 0.43658232872766695}",25,15,-2.693699694441743,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
375,False,"{'a': 0.4, 'e': 0.43388137522789066}",35,5,-4.082360771844978,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",1
376,False,"{'a': 0.4, 'e': 0.4311765167986662}",25,6,-68.37548163374971,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 1}",1
377,False,"{'a': 0.4, 'e': 0.42846777778370077}",30,11,0.3217959287501273,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
378,False,"{'a': 0.4, 'e': 0.42575518256162764}",20,0,-26.45034410703747,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
379,False,"{'a': 0.4, 'e': 0.42303875554578513}",25,8,-60.641853604591084,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
380,False,"{'a': 0.4, 'e': 0.42031852118399843}",20,9,23.047988929733997,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
